* ******************************************************************************

* iCEcube Pin Table

* Version:            2017.08.27940

* Build Date:         Sep 11 2017 16:52:36

* File Generated:     Sep 9 2018 06:23:30

* Purpose:            Detailed IO and package pin info

* Copyright (C) 2006-2010 by Lattice Semiconductor Corp. All rights reserved.

* ******************************************************************************

Device, iCE40HX8K
Package, BG121

Pin Number, Pin Type Name, Signal Name, Direction, Global Buffer, IO Standard, Pull Up, IO Function, IO Bank, 
---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, ---------------, 
A1, PIO, ADV_G[0], Output, , SB_LVCMOS, No Pull Up, Simple Output, topBank
K5, PIO, not used, , , , , , bottomBank
K6, PIO_GBIN, TVP_CLK, Input, glb Buff, SB_LVCMOS, Pull Up, Simple Input, bottomBank
K7, PIO, not used, , , , , , bottomBank
K8, CDONE, not used, , , , , , bottomBank
K9, SPI_SO, not used, , , , , , bottomBank
K10, SPI_SS_B, not used, , , , , , bottomBank
K11, PIO, not used, , , , , , rightBank
L1, PIO, not used, , , , , , bottomBank
L2, PIO, not used, , , , , , bottomBank
L3, PIO, not used, , , , , , bottomBank
L4, PIO, not used, , , , , , bottomBank
L5, PIO_GBIN, not used, , , , , , bottomBank
L6, AGND_BOT, not used, , , , , , UnknownBank
L7, PIO, not used, , , , , , bottomBank
L8, PIO, not used, , , , , , bottomBank
L9, CRESET_B, not used, , , , , , bottomBank
L10, SPI_SCK, not used, , , , , , bottomBank
L11, VDDIO_SPI, not used, , , , , , bottomBank
Total Number of Used Pins, 40
